name,@type,@lat,@lon,addr:full,addr:housenumber,addr:unit,addr:street,addr:city,addr:postcode,opening_hours,amenity,shop,brand:wikidata,payment:ebt,payment:snap,payment:wic
Food City,node,35.1061396,-85.2711735,,,,,,,,,supermarket,Q16981107,,,
Carneceria LOA #7,node,35.0372672,-85.3110610,,,,,,,,,supermarket,,,,
Main Street Market,node,35.0348466,-85.3033251,,,,,,,,marketplace,,,,,
Hibbits Sports,node,35.1548297,-85.2456380,,,,,,,,marketplace,,,,,
Antique Shop,node,35.1853918,-85.2457131,,,,,,,,marketplace,,,,,
Publix,node,35.1473504,-85.2072757,,5928,112,Hixson Pike,Hixson,37343-4839,Mo-Su 07:00-22:00,,supermarket,Q672170,,,
Food City,node,35.0986323,-85.3292909,,,,Signal Mountain Boulevard,Chattanooga,37405,,,supermarket,Q16981107,,,
Whole Foods Market,node,35.0632254,-85.3144362,,301,,Manufacturers Road,Chattanooga,37405,Mo-Su 08:00-21:00,,supermarket,Q1809448,,,
Main Street Meats,node,35.0352293,-85.3045576,,217,,East Main Street,Chattanooga,37408,11:00-19:00,,butcher,,,,
Walmart Neighborhood Market,node,35.1153680,-85.2626990,3901 Hixson Pike Suite 181,3901,,Hixson Pike,Chattanooga,37415,24/7,,supermarket,Q483551,,,
Asian Market,node,35.0448253,-85.1663824,,6933,500,Lee Highway,Chattanooga,37421,10:00-21:00,,supermarket,,,,
Save-A-Lot,node,35.0430841,-85.1673549,,6901,,Lee Highway,Chattanooga,37421,,,supermarket,Q7427972,,,
Save-A-Lot,node,35.0918635,-85.3108049,,,,Dayton Boulevard,red bank,37405,,,supermarket,Q7427972,,,
United Grocery Outlet,node,35.0871142,-85.1885840,,4758,,Highway 58,,,,,supermarket,Q23074318,,,
Food City,node,35.0099223,-85.3262254,,,,,,,,,supermarket,Q16981107,,,
Food City,node,35.0206569,-85.2885835,,,,,,,,,supermarket,Q16981107,,,
Publix,node,35.0149590,-85.3255214,,3535,,Broad Street,Chattanooga,37409,Mo-Su 07:00-22:00,,supermarket,Q672170,,,
Trader Joe's,node,35.0328677,-85.1545251,,2111,,Gunbarrel Road,Chattanooga,37421,Mo-Su 09:00-21:00,,supermarket,Q688825,,,
India Bazar,node,35.0435686,-85.1634903,,,,,,,,,supermarket,,,,
Walmart Supercenter,way,35.0299942,-85.1530712,,2020,,Gunbarrel Road,Chattanooga,37421,24/7,,supermarket,,,,
Food City,way,35.0447990,-85.1643605,,,,,,,,,supermarket,,,,
Walmart Supercenter,way,35.0944645,-85.3319283,501 Signal Mountain Rd,501,,Signal Mountain Road,Chattanooga,37405,24/7,,supermarket,Q483551,,,
Food City,way,35.1197090,-85.2914998,,,,Dayton Boulevard,,,,,supermarket,Q16981107,,,
Food City,way,35.0081160,-85.1547664,,7804,,East Brainerd Road,Chattanooga,37421,,,supermarket,Q16981107,,,
Walmart Supercenter,way,35.0157337,-85.3765512,3550 Cummings Hwy,3550,,Cummings Highway,Chattanooga,37419,24/7,,supermarket,Q483551,,,
Walmart Supercenter,way,35.1530072,-85.2452701,5764 Highway 153,5764,,Highway 153,Hixson,37343,24/7,,supermarket,Q483551,,,
O'Dells Deli,way,35.0203100,-85.3671793,,,,,,,,marketplace,,,,,
Food City,way,35.0836831,-85.1976349,,4510,,Highway 58,,,,,supermarket,Q16981107,,,
Food City,way,35.0865890,-85.0612080,,,,,,,,,supermarket,Q16981107,,,
Publix,way,35.0905947,-85.0643332,,5958,168,Snow Hill Road,Ooltewah,37363-7834,Mo-Su 07:00-22:00,,supermarket,Q672170,,,
ALDI,way,35.1437389,-85.2474645,,5510,1,Highway 153,Hixson,37343,"Mo, We, Fr-Su 09:00-20:00, Tu, Th 08:30-20:00",,supermarket,Q41171672,yes,yes,no
Food City,way,35.1449199,-85.2204432,,,,,,,,,supermarket,Q16981107,,,
Publix,way,35.0650768,-85.3083981,,400,,North Market Street,Chattanooga,37405-4433,Mo-Su 07:00-22:00,,supermarket,Q672170,,,
ALDI,way,35.0180744,-85.2041310,,5706,,Lee Highway,Chattanooga,37421,"Mo, We, Fr-Su 09:00-20:00, Tu, Th 08:30-20:00",,supermarket,Q41171672,yes,yes,no
Super Carniceria Loa,way,35.0217296,-85.1981683,,400,,Chickamauga Road,Chattanooga,37421,,,supermarket,,,,
Walmart Neighborhood Market,way,35.0054424,-85.1491700,8101 East Brainerd Rd,8101,,East Brainerd Road,Chattanooga,37421,Mo-Su 06:00-24:00,,supermarket,Q483551,,,
Publix,way,34.9991533,-85.1339152,,8644,,East Brainerd Road,Chattanooga,37421,Mo-Su 07:00-22:00,,supermarket,Q672170,,,
Publix,way,35.0437903,-85.1500023,,7326,,McCutcheon Road,Chattanooga,37421,07:00-22:00,,supermarket,Q672170,,,
The Fresh Market,way,35.0384650,-85.1488928,,,,,,,,,supermarket,Q7735265,,,
ALDI,way,35.0332994,-85.1512558,,2020,154,Gunbarrel Road,Chattanooga,37421,"Mo, We, Fr-Su 09:00-20:00, Tu, Th 08:30-20:00",,supermarket,Q41171672,yes,yes,no
Janta Farmers Market,way,35.0346377,-85.1777728,,6500,,Lee Highway,Chattanooga,,09:30-20:30,,supermarket,,,,
ALDI,way,35.0977082,-85.3257258,,637,,Mundy Street,Chattanooga,37405,"Mo, We, Fr-Su 09:00-20:00, Tu, Th 08:30-20:00",,supermarket,Q41171672,yes,yes,no
